Months,Model
9.66,Original
4.86,Original
1.08,Original
7.52,Original
0.16,Original
4.07,Original
24.21,Original
7.0,Original
7.03,Original
7.03,Original
4.5,Original
6.64,Original
17.18,Original
8.02,Original
18.89,Original
4.73,Original
12.09,Original
1.77,Original
22.47,Original
14.06,Original
16.79,Original
14.95,Original
17.77,Original
3.98,Original
28.52,Original
10.02,Original
13.86,Original
9.72,Original
31.31,Original
7.13,Original
9.36,Original
9.4,Original
14.85,Original
5.49,Original
8.87,Original
18.96,Original
1.58,Original
7.92,Original
2.33,Original
19.32,Original
5.06,Original
16.59,Original
9.86,Original
24.21,Original
40.51,Original
21.29,Original
30.03,Original
14.03,Original
11.5,Original
24.74,Original
18.07,Original
16.75,Original
16.06,Original
7.59,Original
2.86,Original
14.39,Original
15.77,Original
11.33,Original
0.2,Original
2.53,Original
9.2,Original
8.34,Original
7.62,Original
8.48,Original
1.22,Original
1.54,Original
2.83,Original
0.13,Original
4.7,Original
16.430742574257454,Original
16.430742574257454,Original
0.66,Original
6.73,Original
4.76,Original
16.430742574257454,Original
11.27,Original
7.29,Original
5.26,Original
14.91,Original
11.27,Original
17.87,Original
14.52,Original
11.76,Original
31.24,Original
23.42,Original
11.01,Original
13.63,Original
5.16,Original
22.67,Original
12.75,Original
5.42,Original
15.37,Original
21.06,Original
0.49,Original
0.1,Original
15.83,Original
19.48,Original
1.18,Original
4.66,Original
12.68,Original
14.85,Original
16.92,Original
12.22,Original
20.76,Original
15.01,Original
16.430742574257454,Original
15.93,Original
7.36,Original
8.84,Original
22.77,Original
25.16,Original
21.12,Original
20.3,Original
3.71,Original
12.58,Original
19.84,Original
10.84,Original
19.22,Original
0.85,Original
13.34,Original
8.94,Original
9.53,Original
0.99,Original
4.43,Original
11.83,Original
0.2,Original
15.11,Original
12.45,Original
4.07,Original
1.45,Original
25.56,Original
3.45,Original
20.89,Original
4.34,Original
14.32,Original
8.21,Original
7.49,Original
4.8,Original
4.53,Original
