Study ID	Patient ID	Sample ID	Mutation Count
gbm_tcga	TCGA-76-6191	TCGA-76-6191-01	50
gbm_tcga	TCGA-76-6192	TCGA-76-6192-01	52
gbm_tcga	TCGA-76-6193	TCGA-76-6193-01	42
gbm_tcga	TCGA-76-6282	TCGA-76-6282-01	50
gbm_tcga	TCGA-76-6285	TCGA-76-6285-01	51
gbm_tcga	TCGA-81-5910	TCGA-81-5910-01	47
gbm_tcga	TCGA-87-5896	TCGA-87-5896-01	44
gbm_tcga	TCGA-06-1806	TCGA-06-1806-01	27
gbm_tcga	TCGA-06-6388	TCGA-06-6388-01	47
gbm_tcga	TCGA-06-6693	TCGA-06-6693-01	52
gbm_tcga	TCGA-06-6694	TCGA-06-6694-01	70
gbm_tcga	TCGA-06-6695	TCGA-06-6695-01	56
gbm_tcga	TCGA-06-6697	TCGA-06-6697-01	64
gbm_tcga	TCGA-06-6698	TCGA-06-6698-01	43
gbm_tcga	TCGA-06-6699	TCGA-06-6699-01	62
gbm_tcga	TCGA-06-6700	TCGA-06-6700-01	50
gbm_tcga	TCGA-06-6701	TCGA-06-6701-01	41
gbm_tcga	TCGA-14-0740	TCGA-14-0740-01	43
gbm_tcga	TCGA-14-0862	TCGA-14-0862-01	41
gbm_tcga	TCGA-14-1043	TCGA-14-1043-01	20
gbm_tcga	TCGA-14-1395	TCGA-14-1395-01	53
gbm_tcga	TCGA-14-1450	TCGA-14-1450-01	57
gbm_tcga	TCGA-19-5953	TCGA-19-5953-01	55
gbm_tcga	TCGA-26-6173	TCGA-26-6173-01	32
gbm_tcga	TCGA-26-6174	TCGA-26-6174-01	88
gbm_tcga	TCGA-28-5211	TCGA-28-5211-01	37
gbm_tcga	TCGA-41-6646	TCGA-41-6646-01	50
gbm_tcga	TCGA-74-6573	TCGA-74-6573-01	44
gbm_tcga	TCGA-74-6575	TCGA-74-6575-01	91
gbm_tcga	TCGA-74-6577	TCGA-74-6577-01	41
gbm_tcga	TCGA-74-6578	TCGA-74-6578-01	70
gbm_tcga	TCGA-74-6584	TCGA-74-6584-01	36
gbm_tcga	TCGA-76-6280	TCGA-76-6280-01	59
gbm_tcga	TCGA-76-6283	TCGA-76-6283-01	88
gbm_tcga	TCGA-76-6286	TCGA-76-6286-01	60
gbm_tcga	TCGA-76-6656	TCGA-76-6656-01	88
gbm_tcga	TCGA-76-6657	TCGA-76-6657-01	59
gbm_tcga	TCGA-76-6660	TCGA-76-6660-01	75
gbm_tcga	TCGA-76-6661	TCGA-76-6661-01	50
gbm_tcga	TCGA-76-6662	TCGA-76-6662-01	44
gbm_tcga	TCGA-76-6663	TCGA-76-6663-01	54
gbm_tcga	TCGA-76-6664	TCGA-76-6664-01	48
gbm_tcga	TCGA-81-5911	TCGA-81-5911-01	35
gbm_tcga	TCGA-06-0155	TCGA-06-0155-01	70
gbm_tcga	TCGA-14-0786	TCGA-14-0786-01	40
gbm_tcga	TCGA-14-1034	TCGA-14-1034-02	69
gbm_tcga	TCGA-16-1045	TCGA-16-1045-01	89
gbm_tcga	TCGA-14-1823	TCGA-14-1823-01	56
gbm_tcga	TCGA-14-1825	TCGA-14-1825-01	47
gbm_tcga	TCGA-14-1829	TCGA-14-1829-01	46
gbm_tcga	TCGA-27-1830	TCGA-27-1830-01	49
gbm_tcga	TCGA-27-1832	TCGA-27-1832-01	39
gbm_tcga	TCGA-27-1833	TCGA-27-1833-01	51
gbm_tcga	TCGA-27-1834	TCGA-27-1834-01	50
gbm_tcga	TCGA-02-2470	TCGA-02-2470-01	63
gbm_tcga	TCGA-02-2483	TCGA-02-2483-01	53
gbm_tcga	TCGA-02-2485	TCGA-02-2485-01	62
gbm_tcga	TCGA-02-2486	TCGA-02-2486-01	56
gbm_tcga	TCGA-06-2557	TCGA-06-2557-01	48
gbm_tcga	TCGA-06-2558	TCGA-06-2558-01	76
gbm_tcga	TCGA-06-2559	TCGA-06-2559-01	64
gbm_tcga	TCGA-06-2561	TCGA-06-2561-01	42
gbm_tcga	TCGA-06-2562	TCGA-06-2562-01	68
gbm_tcga	TCGA-06-2563	TCGA-06-2563-01	71
gbm_tcga	TCGA-06-2564	TCGA-06-2564-01	59
gbm_tcga	TCGA-06-2565	TCGA-06-2565-01	60
gbm_tcga	TCGA-06-2567	TCGA-06-2567-01	54
gbm_tcga	TCGA-06-2569	TCGA-06-2569-01	31
gbm_tcga	TCGA-06-2570	TCGA-06-2570-01	42
gbm_tcga	TCGA-14-0790	TCGA-14-0790-01	62
gbm_tcga	TCGA-14-1456	TCGA-14-1456-01	28
gbm_tcga	TCGA-14-2554	TCGA-14-2554-01	64
gbm_tcga	TCGA-27-1831	TCGA-27-1831-01	63
gbm_tcga	TCGA-27-1835	TCGA-27-1835-01	66
gbm_tcga	TCGA-27-1836	TCGA-27-1836-01	41
gbm_tcga	TCGA-27-1837	TCGA-27-1837-01	36
gbm_tcga	TCGA-27-1838	TCGA-27-1838-01	96
gbm_tcga	TCGA-27-2518	TCGA-27-2518-01	40
gbm_tcga	TCGA-27-2519	TCGA-27-2519-01	50
gbm_tcga	TCGA-27-2521	TCGA-27-2521-01	64
gbm_tcga	TCGA-27-2523	TCGA-27-2523-01	55
gbm_tcga	TCGA-27-2524	TCGA-27-2524-01	54
gbm_tcga	TCGA-27-2526	TCGA-27-2526-01	42
gbm_tcga	TCGA-27-2527	TCGA-27-2527-01	66
gbm_tcga	TCGA-27-2528	TCGA-27-2528-01	48
gbm_tcga	TCGA-28-1747	TCGA-28-1747-01	47
gbm_tcga	TCGA-28-1753	TCGA-28-1753-01	52
gbm_tcga	TCGA-28-2499	TCGA-28-2499-01	31
gbm_tcga	TCGA-28-2502	TCGA-28-2502-01	49
gbm_tcga	TCGA-28-2509	TCGA-28-2509-01	55
gbm_tcga	TCGA-28-2513	TCGA-28-2513-01	81
gbm_tcga	TCGA-28-2514	TCGA-28-2514-01	49
gbm_tcga	TCGA-32-1970	TCGA-32-1970-01	75
gbm_tcga	TCGA-32-1982	TCGA-32-1982-01	70
gbm_tcga	TCGA-32-1986	TCGA-32-1986-01	50
gbm_tcga	TCGA-06-0119	TCGA-06-0119-01	69
gbm_tcga	TCGA-06-0122	TCGA-06-0122-01	71
gbm_tcga	TCGA-06-0124	TCGA-06-0124-01	62
gbm_tcga	TCGA-06-0125	TCGA-06-0125-02	73
gbm_tcga	TCGA-06-0126	TCGA-06-0126-01	51
gbm_tcga	TCGA-06-0128	TCGA-06-0128-01	64
gbm_tcga	TCGA-06-0129	TCGA-06-0129-01	47
gbm_tcga	TCGA-06-0130	TCGA-06-0130-01	29
gbm_tcga	TCGA-06-0137	TCGA-06-0137-01	69
gbm_tcga	TCGA-06-0139	TCGA-06-0139-01	8
gbm_tcga	TCGA-06-0140	TCGA-06-0140-01	42
gbm_tcga	TCGA-06-0141	TCGA-06-0141-01	29
gbm_tcga	TCGA-06-0142	TCGA-06-0142-01	47
gbm_tcga	TCGA-06-0145	TCGA-06-0145-01	86
gbm_tcga	TCGA-06-0169	TCGA-06-0169-01	51
gbm_tcga	TCGA-12-1597	TCGA-12-1597-01	72
gbm_tcga	TCGA-12-3649	TCGA-12-3649-01	82
gbm_tcga	TCGA-12-3650	TCGA-12-3650-01	54
gbm_tcga	TCGA-12-3652	TCGA-12-3652-01	56
gbm_tcga	TCGA-12-3653	TCGA-12-3653-01	36
gbm_tcga	TCGA-19-1390	TCGA-19-1390-01	102
gbm_tcga	TCGA-19-2619	TCGA-19-2619-01	43
gbm_tcga	TCGA-19-2620	TCGA-19-2620-01	68
gbm_tcga	TCGA-19-2623	TCGA-19-2623-01	79
gbm_tcga	TCGA-19-2624	TCGA-19-2624-01	44
gbm_tcga	TCGA-19-2625	TCGA-19-2625-01	57
