MSE,Model
8.538468065472257,Forest
121.39660875234985,Forest
11.291199897249028,Forest
10.235471016727402,Forest
29.576801923769292,Forest
26.92381061775113,Forest
36.38871922340673,Forest
20.02607958949825,Forest
354.5755712313792,Forest
3.130127869457757,Forest
891.6166259388708,Forest
2681.1823646667426,Forest
55.16197464361746,Forest
43.6570030278036,Forest
156.7808672352326,Forest
22.04751593011877,Forest
187.34826175317048,Forest
747.6850160319739,Forest
147.50188734083335,Forest
8.309790831349861,Forest
13.882058389732206,Forest
32.92003013935554,Forest
12.481944557427756,Forest
2.9957712917735067,Forest
32.699038778590506,Forest
23.774339456594312,Forest
20.483627415753794,Forest
87.37848490916238,Forest
7.598480412472242,Forest
51.37721950916381,Forest
57.13870647455187,Forest
0.1407988881687916,Forest
257.9978993048641,Forest
3.117256280711495,Forest
61.910539341074305,Forest
45.60119186159311,Forest
147.6481830479717,Forest
98.10734147633664,Forest
0.012177895101403137,Forest
32.41354762173203,Forest
0.04037986454168439,Forest
14.164388850224864,Forest
28.24423462819074,Forest
990.5537485508465,Forest
4.722433236072942,Forest
130.41470317791973,Forest
92.98501863424329,Forest
114.16894936913904,Forest
0.19602605153068994,Forest
4.342977258889857,Forest
169.38516252348572,Forest
0.035925207098509736,Forest
53.69815517618709,Forest
10.40154142962942,Forest
19.709373448117212,Forest
74.61352071038027,Forest
964.9487143181467,Forest
1892.0755045557648,Forest
0.38493332814825937,Forest
6.621639175877721,Forest
0.9877827534315123,Forest
98.36896690372548,Forest
6.614423929662871,Forest
45.5931813190176,Forest
0.34492973710736,Forest
73.19552689426436,Forest
36.33805083669715,Forest
12.239118616048831,Forest
0.9682603136517937,Forest
4.671713647892212,Forest
51.60689897022563,Forest
0.2847507625094811,Forest
15.744101539483527,Forest
15.349466742312002,Forest
1.6040217216218573,Forest
0.9877827534315123,Forest
0.48874379812192964,Forest
25.280174882975707,Forest
3.2501002493026383,Forest
0.9877827534315123,Forest
12.584009667845478,Forest
46.64682258197935,Forest
0.21387441743006325,Forest
0.43687219812750333,Forest
31.58125464979103,Forest
0.9494632384466815,Forest
40.96886000741131,Forest
5.670411408521635,Forest
3.9362712349799036,Forest
2.8836617481094935,Forest
17.68545620036116,Forest
6.875368168531337,Forest
0.4255335986992528,Forest
92.58124592575214,Forest
0.04957343475635395,Forest
26.325278549471502,Forest
49.435644685081016,Forest
2.3643427464162006,Forest
9.759777058640168,Forest
49.489603737871825,Forest
208.68924950117633,Forest
212.9128247451217,Forest
15.486723082105177,Forest
46.76706112955392,Forest
56.35836137100754,Forest
70.18456820808724,Forest
1.7704228418843628,Forest
0.9877827534315123,Forest
18.13163842305991,Forest
0.0869856596255224,Forest
22.006422725638604,Forest
0.3652921301993187,Forest
16.92511340536625,Forest
187.83196862336547,Forest
5.248741477180586,Forest
50.23262931244254,Forest
6.274747656895286,Forest
166.63880094686274,Forest
43.329951814171274,Forest
8.934752273308401,Forest
0.4277484884045589,Forest
3.0423852476973843,Forest
4.0105107311650965,Forest
